time,current,voltage,soc
269.000000,0.500000,4.046101,0.959601
270.000000,0.500000,4.046074,0.959541
271.000000,0.500000,4.046046,0.959481
272.000000,0.500000,4.046017,0.959420
273.000000,0.500000,4.045986,0.959360
274.000000,0.500000,4.045954,0.959300
275.000000,0.500000,4.045921,0.959239
276.000000,0.500000,4.045887,0.959179
277.000000,0.500000,4.045851,0.959118
278.000000,0.500000,4.045815,0.959058
279.000000,0.500000,4.045777,0.958998
280.000000,0.500000,4.045739,0.958937
281.000000,0.500000,4.045700,0.958877
282.000000,0.500000,4.045660,0.958816
283.000000,0.500000,4.045619,0.958756
284.000000,0.500000,4.045577,0.958696
285.000000,0.500000,4.045534,0.958635
286.000000,0.500000,4.045491,0.958575
287.000000,0.500000,4.045447,0.958514
288.000000,0.500000,4.045402,0.958454
289.000000,0.500000,4.045357,0.958394
290.000000,0.500000,4.045311,0.958333
291.000000,0.500000,4.045264,0.958273
292.000000,0.500000,4.045217,0.958213
293.000000,0.500000,4.045169,0.958152
294.000000,0.500000,4.045121,0.958092
295.000000,0.500000,4.045072,0.958031
296.000000,0.500000,4.045023,0.957971
297.000000,0.500000,4.044973,0.957911
298.000000,0.500000,4.044922,0.957850
299.000000,0.500000,4.044872,0.957790
300.000000,1.500000,4.029821,0.957729
301.000000,1.500000,4.029239,0.957548
302.000000,1.500000,4.028674,0.957367
303.000000,1.500000,4.028125,0.957186
304.000000,1.500000,4.027590,0.957005
305.000000,1.500000,4.027070,0.956824
306.000000,1.500000,4.026563,0.956643
307.000000,1.500000,4.026070,0.956461
308.000000,1.500000,4.025589,0.956280
309.000000,1.500000,4.025121,0.956099
310.000000,1.500000,4.024664,0.955918
311.000000,1.500000,4.024219,0.955737
312.000000,1.500000,4.023784,0.955556
313.000000,1.500000,4.023359,0.955374
314.000000,1.500000,4.022944,0.955193
315.000000,1.500000,4.022539,0.955012
316.000000,1.500000,4.022143,0.954831
317.000000,1.500000,4.021755,0.954650
318.000000,1.500000,4.021376,0.954469
319.000000,1.500000,4.021005,0.954287
320.000000,1.500000,4.020642,0.954106
321.000000,1.500000,4.020286,0.953925
322.000000,1.500000,4.019936,0.953744
323.000000,1.500000,4.019594,0.953563
324.000000,1.500000,4.019258,0.953382
325.000000,1.500000,4.018929,0.953200
326.000000,1.500000,4.018605,0.953019
327.000000,1.500000,4.018288,0.952838
328.000000,1.500000,4.017975,0.952657
329.000000,1.500000,4.017668,0.952476
330.000000,1.500000,4.017366,0.952295
331.000000,1.500000,4.017069,0.952114
332.000000,1.500000,4.016777,0.951932
333.000000,1.500000,4.016489,0.951751
334.000000,1.500000,4.016205,0.951570
335.000000,1.500000,4.015925,0.951389
336.000000,1.500000,4.015650,0.951208
337.000000,1.500000,4.015378,0.951027
338.000000,1.500000,4.015109,0.950845
339.000000,1.500000,4.014845,0.950664
340.000000,1.500000,4.014583,0.950483
341.000000,1.500000,4.014325,0.950302
342.000000,1.500000,4.014070,0.950121
343.000000,1.500000,4.013817,0.949940
344.000000,1.500000,4.013568,0.949758
345.000000,1.500000,4.013321,0.949577
346.000000,1.500000,4.013077,0.949396
347.000000,1.500000,4.012836,0.949215
348.000000,1.500000,4.012596,0.949034
349.000000,1.500000,4.012359,0.948853
350.000000,1.500000,4.012125,0.948671
351.000000,1.500000,4.011892,0.948490
352.000000,1.500000,4.011661,0.948309
353.000000,1.500000,4.011432,0.948128
354.000000,1.500000,4.011206,0.947947
355.000000,1.500000,4.010981,0.947766
356.000000,1.500000,4.010757,0.947585
357.000000,1.500000,4.010535,0.947403
358.000000,1.500000,4.010315,0.947222
359.000000,1.500000,4.010097,0.947041
360.000000,1.500000,4.009879,0.946860
361.000000,1.500000,4.009664,0.946679
362.000000,1.500000,4.009449,0.946498
363.000000,1.500000,4.009236,0.946316
364.000000,1.500000,4.009024,0.946135
365.000000,1.500000,4.008813,0.945954
366.000000,1.500000,4.008603,0.945773
367.000000,1.500000,4.008395,0.945592
368.000000,1.500000,4.008187,0.945411
369.000000,1.500000,4.007981,0.945229
370.000000,1.500000,4.007775,0.945048
371.000000,1.500000,4.007570,0.944867
372.000000,1.500000,4.007366,0.944686
373.000000,1.500000,4.007163,0.944505
374.000000,1.500000,4.006961,0.944324
375.000000,1.500000,4.006760,0.944143
376.000000,1.500000,4.006559,0.943961
377.000000,1.500000,4.006359,0.943780
378.000000,1.500000,4.006160,0.943599
379.000000,1.500000,4.005961,0.943418
380.000000,1.500000,4.005763,0.943237
381.000000,1.500000,4.005566,0.943056
382.000000,1.500000,4.005369,0.942874
383.000000,1.500000,4.005172,0.942693
384.000000,1.500000,4.004977,0.942512
385.000000,1.500000,4.004781,0.942331
386.000000,1.500000,4.004587,0.942150
387.000000,1.500000,4.004392,0.941969
388.000000,1.500000,4.004198,0.941787
389.000000,1.500000,4.004005,0.941606
390.000000,1.500000,4.003812,0.941425
391.000000,1.500000,4.003619,0.941244
392.000000,1.500000,4.003427,0.941063
393.000000,1.500000,4.003235,0.940882
394.000000,1.500000,4.003043,0.940700
395.000000,1.500000,4.002852,0.940519
396.000000,1.500000,4.002661,0.940338
397.000000,1.500000,4.002471,0.940157
398.000000,1.500000,4.002280,0.939976
399.000000,1.500000,4.002090,0.939795
400.000000,0.800000,4.012400,0.939614
401.000000,0.800000,4.012582,0.939517
402.000000,0.800000,4.012752,0.939420
403.000000,0.800000,4.012912,0.939324
404.000000,0.800000,4.013061,0.939227
405.000000,0.800000,4.013199,0.939130
406.000000,0.800000,4.013328,0.939034
407.000000,0.800000,4.013448,0.938937
408.000000,0.800000,4.013559,0.938841
409.000000,0.800000,4.013662,0.938744
410.000000,0.800000,4.013756,0.938647
411.000000,0.800000,4.013843,0.938551
412.000000,0.800000,4.013921,0.938454
413.000000,0.800000,4.013993,0.938357
414.000000,0.800000,4.014058,0.938261
415.000000,0.800000,4.014116,0.938164
416.000000,0.800000,4.014168,0.938068
417.000000,0.800000,4.014214,0.937971
418.000000,0.800000,4.014253,0.937874
419.000000,0.800000,4.014288,0.937778
420.000000,0.800000,4.014316,0.937681
421.000000,0.800000,4.014340,0.937585
422.000000,0.800000,4.014359,0.937488
423.000000,0.800000,4.014373,0.937391
424.000000,0.800000,4.014382,0.937295
425.000000,0.800000,4.014387,0.937198
426.000000,0.800000,4.014388,0.937101
427.000000,0.800000,4.014385,0.937005
428.000000,0.800000,4.014378,0.936908
429.000000,0.800000,4.014367,0.936812
430.000000,0.800000,4.014352,0.936715
431.000000,0.800000,4.014335,0.936618
432.000000,0.800000,4.014314,0.936522
433.000000,0.800000,4.014289,0.936425
434.000000,0.800000,4.014262,0.936329
435.000000,0.800000,4.014232,0.936232
436.000000,0.800000,4.014199,0.936135
437.000000,0.800000,4.014164,0.936039
438.000000,0.800000,4.014126,0.935942
439.000000,0.800000,4.014085,0.935845
440.000000,0.800000,4.014042,0.935749
441.000000,0.800000,4.013997,0.935652
442.000000,0.800000,4.013950,0.935556
443.000000,0.800000,4.013901,0.935459
444.000000,0.800000,4.013850,0.935362
445.000000,0.800000,4.013796,0.935266
446.000000,0.800000,4.013741,0.935169
447.000000,0.800000,4.013685,0.935072
448.000000,0.800000,4.013626,0.934976
449.000000,0.800000,4.013566,0.934879
450.000000,0.800000,4.013505,0.934783
451.000000,0.800000,4.013441,0.934686
452.000000,0.800000,4.013377,0.934589
453.000000,0.800000,4.013311,0.934493
454.000000,0.800000,4.013244,0.934396
455.000000,0.800000,4.013175,0.934300
456.000000,0.800000,4.013106,0.934203
457.000000,0.800000,4.013035,0.934106
458.000000,0.800000,4.012963,0.934010
459.000000,0.800000,4.012890,0.933913
460.000000,0.800000,4.012816,0.933816
461.000000,0.800000,4.012741,0.933720
462.000000,0.800000,4.012665,0.933623
463.000000,0.800000,4.012589,0.933527
464.000000,0.800000,4.012511,0.933430
465.000000,0.800000,4.012432,0.933333
466.000000,0.800000,4.012353,0.933237
467.000000,0.800000,4.012273,0.933140
468.000000,0.800000,4.012192,0.933043
469.000000,0.800000,4.012111,0.932947
470.000000,0.800000,4.012029,0.932850
471.000000,0.800000,4.011946,0.932754
472.000000,0.800000,4.011863,0.932657
473.000000,0.800000,4.011779,0.932560
474.000000,0.800000,4.011694,0.932464
475.000000,0.800000,4.011609,0.932367
476.000000,0.800000,4.011523,0.932271
477.000000,0.800000,4.011437,0.932174
478.000000,0.800000,4.011350,0.932077
479.000000,0.800000,4.011263,0.931981
480.000000,0.800000,4.011176,0.931884
481.000000,0.800000,4.011088,0.931787
482.000000,0.800000,4.010999,0.931691
483.000000,0.800000,4.010911,0.931594
484.000000,0.800000,4.010822,0.931498
485.000000,0.800000,4.010732,0.931401
486.000000,0.800000,4.010642,0.931304
487.000000,0.800000,4.010552,0.931208
488.000000,0.800000,4.010461,0.931111
489.000000,0.800000,4.010371,0.931014
490.000000,0.800000,4.010280,0.930918
491.000000,0.800000,4.010188,0.930821
492.000000,0.800000,4.010097,0.930725
493.000000,0.800000,4.010005,0.930628
494.000000,0.800000,4.009912,0.930531
495.000000,0.800000,4.009820,0.930435
496.000000,0.800000,4.009727,0.930338
497.000000,0.800000,4.009635,0.930242
498.000000,0.800000,4.009542,0.930145
499.000000,0.800000,4.009448,0.930048
500.000000,1.200000,4.003355,0.929952
501.000000,1.200000,4.003049,0.929807
502.000000,1.200000,4.002750,0.929662
503.000000,1.200000,4.002456,0.929517
504.000000,1.200000,4.002169,0.929372
505.000000,1.200000,4.001888,0.929227
506.000000,1.200000,4.001612,0.929082
507.000000,1.200000,4.001341,0.928937
508.000000,1.200000,4.001075,0.928792
509.000000,1.200000,4.000814,0.928647
510.000000,1.200000,4.000558,0.928502
511.000000,1.200000,4.000306,0.928357
512.000000,1.200000,4.000059,0.928213
513.000000,1.200000,3.999816,0.928068
514.000000,1.200000,3.999576,0.927923
515.000000,1.200000,3.999340,0.927778
516.000000,1.200000,3.999108,0.927633
517.000000,1.200000,3.998880,0.927488
518.000000,1.200000,3.998654,0.927343
519.000000,1.200000,3.998432,0.927198
520.000000,1.200000,3.998213,0.927053
521.000000,1.200000,3.997997,0.926908
522.000000,1.200000,3.997784,0.926763
523.000000,1.200000,3.997573,0.926618
524.000000,1.200000,3.997365,0.926473
525.000000,1.200000,3.997160,0.926329
526.000000,1.200000,3.996957,0.926184
527.000000,1.200000,3.996756,0.926039
528.000000,1.200000,3.996557,0.925894
529.000000,1.200000,3.996361,0.925749
530.000000,1.200000,3.996166,0.925604
531.000000,1.200000,3.995973,0.925459
532.000000,1.200000,3.995783,0.925314
533.000000,1.200000,3.995594,0.925169
534.000000,1.200000,3.995406,0.925024
535.000000,1.200000,3.995221,0.924879
536.000000,1.200000,3.995037,0.924734
537.000000,1.200000,3.994854,0.924589
538.000000,1.200000,3.994673,0.924444
539.000000,1.200000,3.994493,0.924300
540.000000,1.200000,3.994315,0.924155
541.000000,1.200000,3.994138,0.924010
542.000000,1.200000,3.993962,0.923865
543.000000,1.200000,3.993787,0.923720
544.000000,1.200000,3.993613,0.923575
545.000000,1.200000,3.993441,0.923430
546.000000,1.200000,3.993269,0.923285
547.000000,1.200000,3.993099,0.923140
548.000000,1.200000,3.992929,0.922995
549.000000,1.200000,3.992760,0.922850
550.000000,1.200000,3.992593,0.922705
551.000000,1.200000,3.992426,0.922560
552.000000,1.200000,3.992260,0.922415
553.000000,1.200000,3.992094,0.922271
554.000000,1.200000,3.991930,0.922126
555.000000,1.200000,3.991766,0.921981
556.000000,1.200000,3.991602,0.921836
557.000000,1.200000,3.991440,0.921691
558.000000,1.200000,3.991278,0.921546
559.000000,1.200000,3.991116,0.921401
560.000000,1.200000,3.990956,0.921256
561.000000,1.200000,3.990795,0.921111
562.000000,1.200000,3.990636,0.920966
563.000000,1.200000,3.990476,0.920821
564.000000,1.200000,3.990318,0.920676
565.000000,1.200000,3.990159,0.920531
566.000000,1.200000,3.990002,0.920386
567.000000,1.200000,3.989844,0.920242
568.000000,1.200000,3.989687,0.920097
569.000000,1.200000,3.989531,0.919952
570.000000,1.200000,3.989374,0.919807
571.000000,1.200000,3.989219,0.919662
572.000000,1.200000,3.989063,0.919517
573.000000,1.200000,3.988908,0.919372
574.000000,1.200000,3.988753,0.919227
575.000000,1.200000,3.988598,0.919082
576.000000,1.200000,3.988444,0.918937
577.000000,1.200000,3.988290,0.918792
578.000000,1.200000,3.988136,0.918647
579.000000,1.200000,3.987983,0.918502
580.000000,1.200000,3.987830,0.918357
581.000000,1.200000,3.987677,0.918213
582.000000,1.200000,3.987524,0.918068
583.000000,1.200000,3.987372,0.917923
584.000000,1.200000,3.987219,0.917778
585.000000,1.200000,3.987067,0.917633
586.000000,1.200000,3.986915,0.917488
587.000000,1.200000,3.986764,0.917343
588.000000,1.200000,3.986612,0.917198
589.000000,1.200000,3.986461,0.917053
590.000000,1.200000,3.986309,0.916908
591.000000,1.200000,3.986158,0.916763
592.000000,1.200000,3.986007,0.916618
593.000000,1.200000,3.985857,0.916473
594.000000,1.200000,3.985706,0.916329
595.000000,1.200000,3.985555,0.916184
596.000000,1.200000,3.985405,0.916039
597.000000,1.200000,3.985255,0.915894
598.000000,1.200000,3.985105,0.915749
599.000000,1.200000,3.984955,0.915604
600.000000,1.200000,3.984805,0.915459
